filename,language,youtube_id,caption,description,date,author,other_versions1,other_versions1_language,other_versions2,other_versions2_language
learnwikidata-06-Supporting-Chinese.webm,zh-Hans,UeiXK2ZtezI,支援你所编辑的数据,支援你所编辑的数据,05/27/21,Vanderbilt University Libraries,learnwikidata-06-Supporting-English.webm,en,learnwikidata-06-Supporting-Spanish.webm,es
learnwikidata-06-Supporting-English.webm,en,P2JJpmSOuUw,Supporting your edits,The URL linking to full text is used to provide evidence for statements about an item.,05/27/21,Vanderbilt University Libraries,learnwikidata-06-Supporting-Spanish.webm,es,learnwikidata-06-Supporting-Chinese.webm,zh-Hans
learnwikidata-06-Supporting-Spanish.webm,es,NQImk2fjhj4,Cómo validar ediciones en Wikidata,Video que muestra cómo validar ediciones en Wikidata usando enlaces externos e identificadores de publicaciones,04/19/21,Vanderbilt University Libraries,learnwikidata-06-Supporting-Chinese.webm,zh-Hans,learnwikidata-06-Supporting-English.webm,en
learnwikidata-07-Reference-Chinese.webm,zh-Hans,6g28tXNZYVc,添加参考,添加参考,05/27/21,Vanderbilt University Libraries,learnwikidata-07-Reference-English.webm,en,learnwikidata-07-Reference-Spanish.webm,es
learnwikidata-07-Reference-English.webm,en,kvsyaKQsKRE,Adding a reference,The reference URL and retrieved properties are used to create a reference for a statement.,04/19/21,Vanderbilt University Libraries,learnwikidata-07-Reference-Spanish.webm,es,learnwikidata-07-Reference-Chinese.webm,zh-Hans
learnwikidata-07-Reference-Spanish.webm,es,dZul0KqBOC4,Cómo agregar una referencia a un ítem de Wikidata,Video que muestra cómo agregar una referencia a un ítem de Wikidata,04/19/21,Vanderbilt University Libraries,learnwikidata-07-Reference-Chinese.webm,zh-Hans,learnwikidata-07-Reference-English.webm,en
learnwikidata-08-Account-Chinese.webm,zh-Hans,ex5kKQ0ZGNE,创建账户,创建账户,05/27/21,Vanderbilt University Libraries,learnwikidata-08-Account-English.webm,en,learnwikidata-08-Account-Spanish.webm,es
learnwikidata-08-Account-English.webm,en,qxusCaEu6hQ,Set up account/log in,Creating a Wikimedia account,04/23/21,Vanderbilt University Libraries,learnwikidata-08-Account-Spanish.webm,es,learnwikidata-08-Account-Chinese.webm,zh-Hans
learnwikidata-08-Account-Spanish.webm,es,Fga1fLcJ5Eg,Cómo crear tu cuenta en Wikidata,Video que muestra cómo crear una cuenta personal en Wikidata,04/23/21,Vanderbilt University Libraries,learnwikidata-08-Account-Chinese.webm,zh-Hans,learnwikidata-08-Account-English.webm,en
learnwikidata-09-Publisher-Chinese.webm,zh-Hans,ADQBGsz5SpA,为书籍添加出版者,为书籍添加出版者,05/27/21,Vanderbilt University Libraries,learnwikidata-09-Publisher-English.webm,en,learnwikidata-09-Publisher-Spanish.webm,es
learnwikidata-09-Publisher-English.webm,en,I7SHlyiu7i0,Adding a publisher statement,We show how to add a publisher statement to a book item and support it with a reference.,04/23/21,Vanderbilt University Libraries,learnwikidata-09-Publisher-Spanish.webm,es,learnwikidata-09-Publisher-Chinese.webm,zh-Hans
learnwikidata-09-Publisher-Spanish.webm,es,s7Fh7RE4Q54,Cómo agregar el editorial a una obra escrita,Video que muestra cómo agregar el editorial a una obra escrita en Wikidata,04/23/21,Vanderbilt University Libraries,learnwikidata-09-Publisher-Chinese.webm,zh-Hans,learnwikidata-09-Publisher-English.webm,en
learnwikidata-10-Qualifiers-Chinese.webm,zh-Hans,pP0PQ0jnQ3Y,添加限定符,添加限定符,05/27/21,Vanderbilt University Libraries,learnwikidata-10-Qualifiers-English.webm,en,learnwikidata-10-Qualifiers-Spanish.webm,es
learnwikidata-10-Qualifiers-English.webm,en,FOAlp5VIb9Q,Qualifiers,Qualifiers are discussed and we show how to at start time and end time qualifiers to a statement.,04/30/21,Vanderbilt University Libraries,learnwikidata-10-Qualifiers-Spanish.webm,es,learnwikidata-10-Qualifiers-Chinese.webm,zh-Hans
learnwikidata-10-Qualifiers-Spanish.webm,es,LasPs6rVO6w,Calificadores en Wikidata,Cómo agregar calificadores para clarifcar declaraciones,04/30/21,Vanderbilt University Libraries,learnwikidata-10-Qualifiers-Chinese.webm,zh-Hans,learnwikidata-10-Qualifiers-English.webm,en
learnwikidata-11-Title-Chinese.webm,zh-Hans,HuqQDU15SAY,添加作品标题,添加作品标题,05/27/21,Vanderbilt University Libraries,learnwikidata-11-Title-English.webm,en,learnwikidata-11-Title-Spanish.webm,es
learnwikidata-11-Title-English.webm,en,Si7juA6TJS8,Editing titles,We discuss how a title differs from an item label and how monolingual text values are different from regular string values.,04/30/21,Vanderbilt University Libraries,learnwikidata-11-Title-Spanish.webm,es,learnwikidata-11-Title-Chinese.webm,zh-Hans
learnwikidata-11-Title-Spanish.webm,es,e0BAgLvuEtk,Títulos en Wikidata,Se muestran algunas características de títulos y se contrastan con etiquetas.,05/20/21,Vanderbilt University Libraries,learnwikidata-11-Title-Chinese.webm,zh-Hans,learnwikidata-11-Title-English.webm,en
learnwikidata-12-Gadgets-Chinese.webm,zh-Hans,FXNGTun7-m4,安装小工具,安装小工具,05/27/21,Vanderbilt University Libraries,learnwikidata-12-Gadgets-English.webm,en,learnwikidata-12-Gadgets-Spanish.webm,es
learnwikidata-12-Gadgets-English.webm,en,d_g15Dg09Rc,currentDate gadget,We explain what gadgets are and show you how to turn on the currentDate gadget that is used to create references.,05/10/21,Vanderbilt University Libraries,learnwikidata-12-Gadgets-Spanish.webm,es,learnwikidata-12-Gadgets-Chinese.webm,zh-Hans
learnwikidata-12-Gadgets-Spanish.webm,es,musGCa3m6zM,Accesorios (gadgets) en Wikidata,Demostración de la ativación de un accesorio para ahorrar tiempo en Wikidata.,05/10/21,Vanderbilt University Libraries,learnwikidata-12-Gadgets-Chinese.webm,zh-Hans,learnwikidata-12-Gadgets-English.webm,en
learnwikidata-13-RelatedItems-Chinese.webm,zh-Hans,K0ZcLem_0CE,安装相关项的小工具,安装相关项的小工具,05/27/21,Vanderbilt University Libraries,learnwikidata-13-RelatedItems-English.webm,en,learnwikidata-13-RelatedItems-Spanish.webm,es
learnwikidata-13-RelatedItems-English.webm,en,YcEAs81qYGk,relatedItems gadget,The relatedItems gadget displays inverse statements at the bottom of an item page. The item that is the subject of the page is the value of inverse statements.,05/10/21,Vanderbilt University Libraries,learnwikidata-13-RelatedItems-Spanish.webm,es,learnwikidata-13-RelatedItems-Chinese.webm,zh-Hans
learnwikidata-13-RelatedItems-Spanish.webm,es,_Kd8FXHcK4U,"El accesorio ""relateditems"" y su uso en Wikidata","Cómo activar y usar el accesorio ""relateditems"" para mostrar páginas que se enlazan y sus relaciones.",05/10/21,Vanderbilt University Libraries,learnwikidata-13-RelatedItems-Chinese.webm,zh-Hans,learnwikidata-13-RelatedItems-English.webm,en
learnwikidata-14-Merge-Chinese.webm,zh-Hans,VaNSmAhp4wI,安装合并的小工具,安装合并的小工具,05/27/21,Vanderbilt University Libraries,learnwikidata-14-Merge-English.webm,en,learnwikidata-14-Merge-Spanish.webm,es
learnwikidata-14-Merge-English.webm,en,hbfhUVdfzgk,merge gadget,The merge gadget combines two items that represent the same thing.,05/13/21,Vanderbilt University Libraries,learnwikidata-14-Merge-Spanish.webm,es,learnwikidata-14-Merge-Chinese.webm,zh-Hans
learnwikidata-14-Merge-Spanish.webm,es,zDniH-E6evo,"El accesorio ""merge"" para fusionar ítems duplicados en Wikidata","1 El accesorio ""merge"" para fusionar ítems duplicados en Wikidata",05/13/21,Vanderbilt University Libraries,learnwikidata-14-Merge-Chinese.webm,zh-Hans,learnwikidata-14-Merge-English.webm,en
learnwikidata-15-Identifiers-Chinese.webm,zh-Hans,_GLXFMZqCXs,为书籍提供标识符,为书籍提供标识符,05/27/21,Vanderbilt University Libraries,learnwikidata-15-Identifiers-English.webm,en,learnwikidata-15-Identifiers-Spanish.webm,es
learnwikidata-15-Identifiers-English.webm,en,VUEjERvnqFU,Identifiers for books,Unique identifiers provide a way to tell the difference between items with similar titles. In this video we show how to find and assign unique identifiers to books.,05/14/21,Vanderbilt University Libraries,learnwikidata-15-Identifiers-Spanish.webm,es,learnwikidata-15-Identifiers-Chinese.webm,zh-Hans
learnwikidata-15-Identifiers-Spanish.webm,es,LIfe-SAkUEg,Identificadores para libros en Wikidata,Cómo buscar y entrar identificadores únicos para libros.,05/14/21,Vanderbilt University Libraries,learnwikidata-15-Identifiers-Chinese.webm,zh-Hans,learnwikidata-15-Identifiers-English.webm,en
learnwikidata-16-peopleids-Chinese.webm,zh-Hans,Z0nTkICDzlQ,为作者添加标识符,为作者添加标识符,05/27/21,Vanderbilt University Libraries,learnwikidata-16-PeopleIDs-English.webm,en,learnwikidata-16-PeopleIds-Spanish.webm,es
learnwikidata-16-PeopleIDs-English.webm,en,HZcLDw6OT9I,Identifiers for people,We discuss commonly used identifiers for people and show how to find and assign a VIAF identifier to a person's Wikidata item.,05/20/21,Vanderbilt University Libraries,learnwikidata-16-PeopleIds-Spanish.webm,es,learnwikidata-16-peopleids-Chinese.webm,zh-Hans
learnwikidata-16-PeopleIds-Spanish.webm,es,KMECfojCtok,Identificadores para personas en Wikidata,Cómo buscar y agregar identificadores.,05/20/21,Vanderbilt University Libraries,learnwikidata-16-peopleids-Chinese.webm,zh-Hans,learnwikidata-16-PeopleIDs-English.webm,en
learnwikidata-17-Classification-Chinese.webm,zh-Hans,Kzsw9c6hGkc,作品分类,作品分类,05/27/21,Vanderbilt University Libraries,learnwikidata-17-Classification-English.webm,en,learnwikidata-17-Classification-Spanish.webm,es
learnwikidata-17-Classification-English.webm,en,t-GwyrG-fI0,Classification in Wikidata,"This video describes how the terms ""main subject"" and ""genre"" are used in Wikidata and how that use is different from how subject classification is done in libraries.",05/20/21,Vanderbilt University Libraries,learnwikidata-17-Classification-Spanish.webm,es,learnwikidata-17-Classification-Chinese.webm,zh-Hans
learnwikidata-17-Classification-Spanish.webm,es,iE9NKhEGCII,Clasificación en Wikidata,Cómo clasificar obras por tema y género.,05/20/21,Vanderbilt University Libraries,learnwikidata-17-Classification-Chinese.webm,zh-Hans,learnwikidata-17-Classification-English.webm,en
learnwikidata-18-help-Chinese.webm,zh-Hans,TSoujaRdEyU,寻求帮助,寻求帮助,05/27/21,Vanderbilt University Libraries,learnwikidata-18-help-English.webm,en,learnwikidata-18-help-Spanish.webm,es
learnwikidata-18-help-English.webm,en,pawRV5eM_GE,How to get help with Wikidata,We describe how you can find help on your own by contacting other users or asking questions.,05/20/21,Vanderbilt University Libraries,learnwikidata-18-help-Spanish.webm,es,learnwikidata-18-help-Chinese.webm,zh-Hans
learnwikidata-18-help-Spanish.webm,es,U_8aBqnzYI0,Ayuda con Wikidata,Cómo conseguir ayuda de otros usuarios.,05/20/21,Vanderbilt University Libraries,learnwikidata-18-help-Chinese.webm,zh-Hans,learnwikidata-18-help-English.webm,en
learnwikidata-19-Intro-Chinese.webm,zh-Hans,H3OltTO4UrU,维基数据的介绍,维基数据的介绍,05/27/21,Vanderbilt University Libraries,learnwikidata-19-Intro-English.webm,en,learnwikidata-19-Intro-Spanish.webm,es
learnwikidata-19-Intro-English.webm,en,2krj_rqbnOo,Introduction to Wikidata and WikiCite,We describe what Wikidata is and how it can be used. We describe what you need for editing and the format of this lesson series.,05/20/21,Vanderbilt University Libraries,learnwikidata-19-Intro-Spanish.webm,es,learnwikidata-19-Intro-Chinese.webm,zh-Hans
learnwikidata-19-Intro-Spanish.webm,es,eGbtqGdZiRA,"Introducción al curso interactivo ""WikiCite para bibliotecólogos""",Aquí empieza un curso interactivo de videos cortos para todos que deseen aprender a editar en Wikidata.,05/20/21,Vanderbilt University Libraries,learnwikidata-19-Intro-Chinese.webm,zh-Hans,learnwikidata-19-Intro-English.webm,en
learnwikidata-20-Outro-Chinese.webm,zh-Hans,zyoGKBfcu14,恭喜你完成教程！,恭喜你完成教程！,05/27/21,Vanderbilt University Libraries,learnwikidata-20-Outro-English.webm,en,learnwikidata-20-Outro-Spanish.webm,es
learnwikidata-20-Outro-English.webm,en,dHrNrmiWMzk,Congratulations for finishing the lessons!,In this video we review what was learned in the lessons and suggest next steps for additional learning.,05/21/21,Vanderbilt University Libraries,learnwikidata-20-Outro-Spanish.webm,es,learnwikidata-20-Outro-Chinese.webm,zh-Hans
learnwikidata-20-Outro-Spanish.webm,es,0Vec7C6ahdc,La conclusión de nuestro curso de Wikidata,Un resumen de lo que hemos visto y de tus próximos pasos,05/21/21,Vanderbilt University Libraries,learnwikidata-20-Outro-Chinese.webm,zh-Hans,learnwikidata-20-Outro-English.webm,en
